voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
5418.879598662207,270943.97993311036,0.3249957983229572,1.6249789916147862e-05,5.872851220959497e-05,0.0,7.497830212574283e-05,8.124894958073931e-10,7.497911461523863e-05,8.124894958073932e-09,7.49864270207009e-05,8.124894958073932e-08,7.505955107532357e-05
5519.210702341137,275960.53511705686,0.33714186993092465,1.6857093496546234e-05,6.09233735536739e-05,0.0,7.778046705022013e-05,8.428546748273116e-10,7.778130990489495e-05,8.428546748273117e-09,7.778889559696841e-05,8.428546748273116e-08,7.786475251770287e-05
5619.541806020066,280977.0903010033,0.34951076448810076,1.7475538224405038e-05,6.315850021921454e-05,0.0,8.063403844361957e-05,8.737769112202518e-10,8.063491222053079e-05,8.73776911220252e-09,8.064277621273178e-05,8.737769112202519e-08,8.07214161347416e-05
5719.872909698996,285993.6454849498,0.3621024819944857,1.8105124099724285e-05,6.543389220621693e-05,0.0,8.353901630594122e-05,9.052562049862142e-10,8.35399215621462e-05,9.052562049862142e-09,8.354806886799108e-05,9.052562049862143e-08,8.362954192643983e-05
5820.2040133779265,291010.2006688963,0.37491702245007946,1.8745851122503975e-05,6.774954951468104e-05,0.0,8.649540063718501e-05,9.372925561251988e-10,8.649633792974114e-05,9.372925561251988e-09,8.650477356274626e-05,9.372925561251989e-08,8.658912989279753e-05
5920.5351170568565,296026.7558528428,0.387954385854882,1.9397719292744098e-05,7.010547214460689e-05,0.0,8.9503191437351e-05,9.69885964637205e-10,8.950416132331563e-05,9.69885964637205e-09,8.951289029699737e-05,9.698859646372051e-08,8.960018003381472e-05
6020.866220735786,301043.31103678927,0.4012145722088931,2.0060728610444657e-05,7.250166009599444e-05,0.0,9.25623887064391e-05,1.0030364305222327e-09,9.256339174286963e-05,1.0030364305222329e-08,9.257241907074433e-05,1.0030364305222329e-07,9.266269234949132e-05
6121.197324414716,306059.86622073577,0.41469758151211317,2.073487907560566e-05,7.493811336884375e-05,0.0,9.567299244444942e-05,1.036743953780283e-09,9.567402918840319e-05,1.0367439537802831e-08,9.568335988398722e-05,1.036743953780283e-07,9.577666683982744e-05
6221.528428093646,311076.4214046823,0.428403413764542,2.14201706882271e-05,7.741483196315478e-05,0.0,9.883500265138188e-05,1.071008534411355e-09,9.883607365991629e-05,1.071008534411355e-08,9.8845712736726e-05,1.0710085344113551e-07,9.894210350482301e-05
6321.859531772575,316092.9765886287,0.44233206896617944,2.211660344830897e-05,7.99318158789275e-05,0.0,0.00010204841932723648,1.1058301724154485e-09,0.00010204952515740889,1.1058301724154487e-08,0.00010205947762896063,1.1058301724154487e-07,0.00010215900234447803
6422.190635451505,321109.5317725752,0.4564835471170258,2.282417735585129e-05,8.2489065116162e-05,0.0,0.00010531324247201329,1.1412088677925645e-09,0.00010531438368088108,1.1412088677925646e-08,0.00010532465456069122,1.1412088677925646e-07,0.00010542736335879255
6522.521739130435,326126.0869565217,0.47085784821708093,2.3542892410854045e-05,8.508657967485822e-05,0.0,0.00010862947208571227,1.1771446205427025e-09,0.00010863064923033282,1.1771446205427026e-08,0.0001086412435319177,1.1771446205427026e-07,0.00010874718654776654
6622.852842809364,331142.6421404682,0.48545497226634465,2.427274861331723e-05,8.772435955501615e-05,0.0,0.00011199710816833339,1.2136374306658617e-09,0.00011199832180576405,1.2136374306658619e-08,0.00011200924454264005,1.2136374306658618e-07,0.00011211847191139997
6723.183946488294,336159.1973244147,0.5002749192648174,2.5013745963240867e-05,9.040240475663583e-05,0.0,0.0001154161507198767,1.2506872981620435e-09,0.00011541740140717487,1.2506872981620437e-08,0.00011542865759285832,1.2506872981620435e-07,0.00011554121944969291
6823.515050167224,341175.7525083612,0.5153176892124987,2.5765884460624932e-05,9.312071527971724e-05,0.0,0.00011888659974034217,1.2882942230312467e-09,0.00011888788803456521,1.2882942230312467e-08,0.00011889948268257249,1.2882942230312468e-07,0.00011901542916264529
